,Acurácia,Precisão,Recall,F1-Score,ROC AUC
LR (Tx Evento: 0.5),0.7774666666666668,0.7739653840404881,0.7835067577800834,0.7783117689386485,0.8526804016687383
LR (Tx Evento: 0.49),0.7682666666666667,0.7620254831988255,0.7667464676757489,0.7632658042215873,0.8446284563358016
LR (Tx Evento: 0.48),0.7651333333333333,0.7517012281349207,0.7641886091687129,0.7576988932955564,0.8360000626767267
LR (Tx Evento: 0.47),0.792,0.7953897335745744,0.7601030632006888,0.7749416922778412,0.8641221046786198
LR (Tx Evento: 0.46),0.7609999999999999,0.7335360124157034,0.752385717312035,0.7415860086928028,0.8357698219421245
LR (Tx Evento: 0.45),0.7706000000000001,0.7381236020844864,0.7572662929992307,0.7459990486405732,0.8416871300197386
LR (Tx Evento: 0.44),0.7538,0.7171294663761998,0.7327756850486258,0.7242179490096371,0.8231316737023718
LR (Tx Evento: 0.43),0.7558666666666667,0.7052110347826408,0.7475695199189245,0.7251576820997712,0.8273620998649986
LR (Tx Evento: 0.42),0.759,0.7028945981304598,0.7450507963751264,0.7226149073755951,0.8335743110501019
LR (Tx Evento: 0.41),0.7598666666666667,0.7312766121118297,0.6569770405871245,0.6914928354074151,0.8122006916054383
LR (Tx Evento: 0.4),0.7845333333333333,0.7198334900455178,0.7746501408846305,0.7441989254895331,0.855819105887184
LR (Tx Evento: 0.39),0.7799333333333334,0.7213231302677938,0.7099044659820056,0.7152075825239411,0.8405564122006688
LR (Tx Evento: 0.38),0.7968666666666666,0.720474198653793,0.7707379497444624,0.7435564844298499,0.8646334939397782
LR (Tx Evento: 0.37),0.7627999999999999,0.6730609704189137,0.7078602789788286,0.6883439039676867,0.8210506236652936
LR (Tx Evento: 0.36),0.7477333333333334,0.6288077118831877,0.7515939781468968,0.6829561950829658,0.817761607585638
LR (Tx Evento: 0.35),0.7638,0.6536549853123357,0.7248543970565366,0.6847512294582764,0.8244825164544352
LR (Tx Evento: 0.34),0.7622666666666668,0.6219499595872671,0.7733258305908031,0.6891497188577379,0.834837358042422
LR (Tx Evento: 0.33),0.7457999999999999,0.5924555382943829,0.7645794867646263,0.6667998188054776,0.8253871605520977
LR (Tx Evento: 0.32),0.7554,0.5995160395434473,0.7605257991343877,0.6693465760715257,0.8237092822495168
LR (Tx Evento: 0.31),0.7847333333333333,0.6288084778548855,0.7812473150994939,0.695426704829169,0.8598873626329817
LR (Tx Evento: 0.3),0.7663333333333334,0.593109745919348,0.7537513234766017,0.6607370213720876,0.8311383076958887
LR (Tx Evento: 0.29),0.7779333333333333,0.597966874184172,0.7376783953003719,0.6601402096032396,0.8353748124908009
LR (Tx Evento: 0.28),0.7538,0.5535762201167094,0.7570700996789785,0.6369038679985256,0.8269811887339256
LR (Tx Evento: 0.27),0.8071999999999999,0.6256412509870446,0.7328463003908856,0.6739997274335434,0.8568259820398303
LR (Tx Evento: 0.26),0.7564,0.5335594485301041,0.7165006252034986,0.6100675025895385,0.8143173139395719
LR (Tx Evento: 0.25),0.7982,0.5784323597273314,0.7506408453347677,0.6507353127804373,0.8529177005965021
LR (Tx Evento: 0.24),0.8024000000000001,0.5818149768362402,0.7040844198164675,0.6330539917084599,0.8356669170071414
LR (Tx Evento: 0.23),0.7862,0.5322805740091195,0.7119646491700612,0.6081628702976317,0.8326463990677151
LR (Tx Evento: 0.22),0.7954000000000001,0.5374211577544288,0.7872422553258811,0.6351968651221258,0.8625386585277715
LR (Tx Evento: 0.21),0.7854666666666666,0.5031748259290562,0.7442342199552734,0.5987522321042003,0.8359605579840059
LR (Tx Evento: 0.2),0.7924,0.49171118096250455,0.7230031276025378,0.5833911252142755,0.8297947479053984
LR (Tx Evento: 0.19),0.7572,0.44714765473176377,0.7136633583352845,0.5437890043847717,0.8025856677400587
LR (Tx Evento: 0.18),0.7918666666666667,0.4690764411027425,0.7137578988874219,0.5612325158380109,0.8314992373518091
LR (Tx Evento: 0.17),0.7820666666666666,0.4358949211909283,0.7228909230424883,0.5392686909387625,0.8191283179328488
LR (Tx Evento: 0.16),0.7857333333333333,0.4338251360114067,0.7399478284726342,0.5397690954374179,0.8368929173674742
LR (Tx Evento: 0.15),0.7849999999999999,0.3974993509683477,0.7573808862789083,0.5204641244656283,0.8420275265635659
LR (Tx Evento: 0.14),0.7679333333333332,0.35529968993953503,0.7287749212287047,0.4765949411145658,0.8181380148787071
LR (Tx Evento: 0.13),0.7881333333333334,0.37069937944280873,0.7409826779992541,0.48942607273335703,0.8369096818493624
LR (Tx Evento: 0.12),0.7910666666666667,0.3359478187848587,0.6974951695461756,0.45211594363191854,0.8168941839905359
LR (Tx Evento: 0.11),0.7860000000000001,0.3013082066805551,0.6523822894860098,0.41102294550506935,0.7823348802268935
LR (Tx Evento: 0.1),0.7984666666666665,0.3061771850364441,0.7065193563545694,0.42532623447052753,0.8176985764189955
LR (Tx Evento: 0.09),0.8198666666666666,0.30384374905497286,0.7012781597177935,0.4226015851490367,0.8205381508250442
LR (Tx Evento: 0.08),0.8007333333333333,0.27826611215875596,0.7416298171936759,0.39715541090176865,0.8376316160592626
LR (Tx Evento: 0.07),0.7747999999999999,0.20479033851354672,0.678557222958766,0.31264141076797963,0.7890291806326148
LR (Tx Evento: 0.06),0.8123333333333334,0.21886586453129472,0.686686305231176,0.3293253754868095,0.8101877864505941
LR (Tx Evento: 0.05),0.8404,0.21577616192924304,0.6904947106689961,0.325952698914299,0.8292186390198697
LR (Tx Evento: 0.04),0.8126,0.14750943609361267,0.6366471734892787,0.2365236842594362,0.7761076658680718
LR (Tx Evento: 0.03),0.7798,0.1131513323774167,0.6981132075471699,0.19228377226171398,0.7816020898914092
LR (Tx Evento: 0.02),0.8419333333333332,0.10795452370555447,0.6314178244574784,0.18187369382897436,0.7923257791242309
LR (Tx Evento: 0.01),0.6697333333333333,0.05992348822489703,0.633027211977371,0.09236184559706839,0.6645077596644076
